t(s),roll(rad),pitch(rad),yaw(rad),roll(deg),pitch(deg),yaw(deg)
554122.4989674999,0.0054752318,-0.0112016907,0.1998269302,0.3137076726,-0.6418096030,11.4492397361
554123.4989855000,0.0055114517,-0.0112378032,0.2027862079,0.3157829200,-0.6438786954,11.6187938581
554124.4990035000,0.0054811462,-0.0112132368,0.2173258463,0.3140465444,-0.6424711453,12.4518537739
554125.4990215000,0.0054938322,-0.0111761778,0.2284363551,0.3147734003,-0.6403478218,13.0884390360
554126.4990395000,0.0055058143,-0.0111459180,0.1804947011,0.3154599208,-0.6386140593,10.3415846003
554127.4990580000,0.0054936314,-0.0111764457,0.2069401055,0.3147618937,-0.6403631708,11.8567946585
554128.4990755001,0.0055118481,-0.0111766904,0.1899257610,0.3158056332,-0.6403771874,10.8819445239
554129.4990935000,0.0055239700,-0.0112070159,0.2193838591,0.3165001643,-0.6421147100,12.5697692186
554130.4991115000,0.0055059209,-0.0112312505,0.2018386082,0.3154660304,-0.6435032539,11.5645003924
554131.4991305000,0.0054938911,-0.0112069015,0.2151568550,0.3147767704,-0.6421081560,12.3275797258
554132.4991485000,0.0055424136,-0.0112011995,0.1968772868,0.3175569092,-0.6417814542,11.2802376149
554133.4991665001,0.0055119036,-0.0112376202,0.2127590955,0.3158088147,-0.6438682114,12.1901982224
554134.4991845000,0.0055176438,-0.0111707437,0.2031990880,0.3161376998,-0.6400364697,11.6424501443
554135.4992025000,0.0054875895,-0.0112313815,0.2196824816,0.3144157201,-0.6435107571,12.5868790296
554136.4992205000,0.0055118065,-0.0112315059,0.2185650373,0.3158032502,-0.6435178847,12.5228541872
554137.4992385000,0.0055244648,-0.0112255164,0.2053819925,0.3165285144,-0.6431747110,11.7675213557
554138.4992565000,0.0054752655,-0.0112430703,0.1892511533,0.3137096050,-0.6441804780,10.8432923544
554139.4992744999,0.0054875920,-0.0111579330,0.2130325420,0.3144158626,-0.6393024698,12.2058655527
554140.4992930000,0.0055423500,-0.0111949681,0.2105065462,0.3175532610,-0.6414244259,12.0611366566
554141.4993115000,0.0054812504,-0.0112008729,0.2080407009,0.3140525121,-0.6417627425,11.9198541295
554142.4993295000,0.0055299908,-0.0112073135,0.2287149023,0.3168451307,-0.6421317642,13.1043986111
554143.4993475000,0.0054875341,-0.0111886338,0.2206075376,0.3144125466,-0.6410614947,12.6398808309
554144.4993654999,0.0054999091,-0.0112067195,0.2159025425,0.3151215771,-0.6420977304,12.3703044719
554145.4993835000,0.0055057672,-0.0112192607,0.1671340176,0.3154572225,-0.6428162884,9.5760738224
554146.4994015000,0.0055119044,-0.0112008923,0.2350688958,0.3158088600,-0.6417638552,13.4684556247
554147.4994195000,0.0054999324,-0.0112070262,0.2370565491,0.3151229161,-0.6421153028,13.5823397695
554148.4994375000,0.0055361987,-0.0112073922,0.2415816749,0.3172008193,-0.6421362736,13.8416103775
554149.4994555000,0.0054937170,-0.0112192236,0.2006604741,0.3147668005,-0.6428141640,11.4969982792
